# IVT, I, V, T, IV, IT, VT
0,0,2,1,2,1,0
1,0,2,0,2,0,1
2,0,2,10,2,10,2
3,0,0,3,0,3,3
4,0,0,2,0,2,4
5,0,0,4,0,4,5
6,0,0,1,0,1,6
7,0,0,0,0,0,7
8,0,0,12,0,12,8
9,0,0,8,0,8,9
10,0,0,10,0,10,10
11,0,0,11,0,11,11
12,0,0,13,0,13,12
13,0,8,0,8,0,13
14,0,1,2,1,2,14
15,0,1,4,1,4,15
16,0,1,1,1,1,16
17,0,1,0,1,0,17
18,0,1,12,1,12,18
19,0,1,8,1,8,19
20,0,1,10,1,10,20
21,0,1,11,1,11,21
22,1,3,7,13,22,22
23,1,3,5,13,20,23
24,1,3,3,13,18,24
25,1,3,2,13,17,25
26,1,3,4,13,19,26
27,1,3,1,13,16,27
28,1,3,0,13,15,28
29,1,3,8,13,23,29
30,1,3,10,13,25,30
31,1,3,11,13,26,31
32,1,2,9,12,24,32
33,1,2,3,12,18,33
34,1,2,2,12,17,34
35,1,2,1,12,16,0
36,1,2,0,12,15,1
37,1,2,10,12,25,2
38,1,0,1,10,16,6
39,1,0,8,10,23,9
40,1,0,13,10,28,12
41,1,1,2,11,17,14
42,1,1,4,11,19,15
43,1,1,0,11,15,17
44,1,1,8,11,23,19
45,1,1,10,11,25,20
46,2,3,5,23,35,23
47,2,3,3,23,33,24
48,2,3,2,23,32,25
49,2,3,4,23,34,26
50,2,3,1,23,31,27
51,2,3,0,23,30,28
52,2,3,8,23,38,29
53,2,3,10,23,40,30
54,2,5,5,25,35,35
55,2,5,11,25,41,36
56,2,2,5,22,35,37
57,2,2,3,22,33,33
58,2,2,2,22,32,34
59,2,2,1,22,31,0
60,2,2,0,22,30,1
61,2,2,10,22,40,2
62,2,2,11,22,41,38
63,2,1,0,21,30,17
64,2,1,8,21,38,19
65,3,3,10,33,55,30
66,3,5,9,35,54,39
67,3,5,5,35,50,35
68,3,5,3,35,48,40
69,3,5,2,35,47,41
70,3,5,1,35,46,42
71,3,5,8,35,53,43
72,3,5,10,35,55,44
73,3,5,11,35,56,36
74,3,2,1,32,46,0
75,3,2,0,32,45,1
76,3,2,10,32,55,2
77,4,4,5,44,65,45
78,4,4,3,44,63,46
79,4,4,2,44,62,47
80,4,4,4,44,64,48
81,4,4,1,44,61,49
82,5,6,6,56,81,50
83,5,2,2,52,77,34
84,5,2,4,52,79,51
85,5,2,1,52,76,0
86,5,2,0,52,75,1
87,5,2,10,52,85,2
88,5,7,7,57,82,52
89,5,7,4,57,79,53
90,5,7,8,57,83,54
91,5,1,0,51,75,17
92,5,1,8,51,83,19
93,5,1,10,51,85,20
94,2,2,4,22,34,51
95,2,1,4,21,34,15
96,1,2,4,12,19,51
97,5,6,7,56,82,56
98,0,1,13,1,13,57
99,0,8,13,8,13,58
100,3,1,10,60,55,20
101,3,2,9,32,54,32
102,3,1,9,60,54,59
103,1,1,12,11,90,18
104,2,0,0,61,30,7
105,2,2,9,22,91,32
106,0,1,9,1,92,59
107,0,0,9,0,92,60
108,0,2,2,2,2,34
109,5,1,12,51,93,18
110,2,2,8,22,38,61
111,3,2,3,32,48,33
112,2,3,9,23,91,62
113,2,1,1,21,31,16
114,0,8,8,8,8,63
115,2,1,10,21,40,20
116,5,7,1,57,76,64
117,0,1,3,1,3,65
118,3,1,1,60,46,16
119,4,1,0,62,94,17
120,4,4,0,44,94,66
121,3,2,2,32,47,34
122,3,1,0,60,45,17
123,2,1,2,21,32,14
124,5,7,2,57,77,67
125,0,2,4,2,4,51
126,5,1,2,51,77,14
127,1,3,9,13,24,62
128,1,0,10,10,25,10
129,3,2,4,32,95,51
130,0,2,9,2,92,32
131,1,1,1,11,16,16
132,5,2,9,52,96,32
133,5,7,10,57,85,68
134,1,0,0,10,15,7
135,1,0,2,10,17,4
136,3,5,4,35,95,69
137,0,2,3,2,3,33
138,5,7,6,57,81,70
139,5,1,1,51,76,16
140,0,8,1,8,1,71
141,1,2,11,12,26,38
142,3,0,8,63,53,9
143,4,1,8,62,97,19
144,3,1,8,60,53,19
145,4,1,2,62,62,14
146,1,1,9,11,24,59
147,2,3,7,23,98,22
148,0,2,11,2,11,38
149,0,9,14,9,14,55
150,1,9,14,19,29,55
151,2,9,14,29,44,55
152,3,9,14,39,59,55
153,4,9,14,49,74,55
154,5,9,14,59,89,55
155,-1,9,14,-1,-1,55
